property_id,address,latitude,longitude,pct_flooded,max_depth_ft,urban_flag,optical_available,optical_water_pct,wse_spread_ft,rel_elev_ft,dem_resolution_m,depth_lower_ft,depth_upper_ft,depth_ci_ft
HARV-00405,"3141 West Holcombe Boulevard, Houston, 77025",29.704951,-95.426569,0.0,0.0,1,1,0.0,0.0,10.03,1,0.0,0.0,0.0
HARV-00406,"2302 Dunlavy Street, Houston, TX",29.745608,-95.402297,0.0,0.0,1,1,0.0,0.0,2.271,1,0.0,0.0,0.0
HARV-00407,"7601 Westheimer Road, Houston, TX, 77063",29.736512,-95.503239,0.0,0.0,1,1,0.1064,0.0,6.443,1,0.0,0.0,0.0
HARV-00408,"8525 Beechnut Street, Houston, TX, 77036",29.691401,-95.53372,0.0,0.0,1,1,0.0059,0.0,3.335,1,0.0,0.0,0.0
HARV-00409,"1980 Post Oak Boulevard, Houston, 77056",29.746333,-95.461645,0.0,0.0,1,1,0.0,0.0,10.873,1,0.0,0.0,0.0
HARV-00410,"207 Heights Boulevard, Houston, TX, 77007",29.774644,-95.39794,0.0,0.0,1,1,0.2325,0.0,33.44,1,0.0,0.0,0.0
HARV-00411,215 Heights Boulevard,29.774646,-95.398317,0.0,0.0,1,1,0.1835,0.0,34.891,1,0.0,0.0,0.0
HARV-00412,"217 Heights Boulevard, Houston, TX, 77007",29.774768,-95.398338,0.0,0.0,1,1,0.1636,0.0,33.547,1,0.0,0.0,0.0
HARV-00413,"4001 Richmond Avenue, Houston, TX, 77027-6850",29.732247,-95.441896,0.0,0.0,1,1,0.1651,0.0,2.928,1,0.0,0.0,0.0
HARV-00414,"5718 Westheimer Road, Houston, TX, 77057",29.738435,-95.478993,0.0,0.0,1,1,0.0,0.0,12.666,1,0.0,0.0,0.0
HARV-00415,"9660 Westheimer Road, Houston, TX, 77063",29.7385,-95.53687,0.0,0.0,1,1,0.0009,0.0,2.75,1,0.0,0.0,0.0
HARV-00416,"5586 Weslayan Street, Houston, TX, 77005",29.721517,-95.442263,0.0,0.0,1,1,0.0,0.0,3.861,1,0.0,0.0,0.0
HARV-00417,"5161 San Felipe Street, Houston, TX, 77056",29.748929,-95.465602,0.0,0.0,1,1,0.0,0.0,4.065,1,0.0,0.0,0.0
HARV-00418,"3131 West Holcombe Boulevard, Houston, TX, 77025",29.705002,-95.425708,0.0,0.0,1,1,0.0,0.0,9.698,1,0.0,0.0,0.0
HARV-00419,"12850 Memorial Drive, Houston, TX, 77024",29.773515,-95.559534,0.0,0.0,1,1,0.0,0.0,4.199,1,0.0,0.0,0.0
HARV-00420,"14344 Memorial Drive, Houston, TX, 77079",29.771143,-95.599194,0.0,0.0,1,1,0.0,0.0,6.218,1,0.0,0.0,0.0
HARV-00421,"5555 Washington Avenue, Houston, TX, 77007",29.770385,-95.41834,0.0,0.0,1,1,0.0,0.0,2.03,1,0.0,0.0,0.0
HARV-00422,107 Yale Street,29.772809,-95.398986,0.0,0.0,1,1,0.0,0.0,37.128,1,0.0,0.0,0.0
